# iterazione   metodo_sqrt              metodo_rapporto
    1      236.000000000000000      286.254237288135585
    2      259.915370842126208      232.201077624489301
    3      250.327974875101432      253.232928333117428
    4      251.051074077278315      250.028893515702975
    5      250.846304196087402      250.998389525487994
    6      250.871645350050017      250.829159595674554
    7      250.865575516007056      250.873164445869975
    8      250.866524119685465      250.864640731039060
    9      250.866314853581997      250.866684653151481
   10      250.866351833514557      250.866265495740748
   11      250.866343984624763      250.866361802654922
   12      250.866345469460441      250.866341439345405
   13      250.866345159451754      250.866346013523440
   14      250.866345220456708      250.866345030438396
   15      250.866345207788896      250.866345248635810
   16      250.866345210341819      250.866345201331086
   17      250.866345209811783      250.866345211763758
   18      250.866345209920155      250.866345209491527
   19      250.866345209897588      250.866345209990925
   20      250.866345209902420      250.866345209881899
   21      250.866345209901283      250.866345209905830
   22      250.866345209901596      250.866345209900572
   23      250.866345209901482      250.866345209901681
   24      250.866345209901453      250.866345209901482
   25      250.866345209901539      250.866345209901539
   26      250.866345209901596      250.866345209901539
   27      250.866345209901453      250.866345209901539
   28      250.866345209901453      250.866345209901482
   29      250.866345209901510      250.866345209901567
   30      250.866345209901510      250.866345209901482
   31      250.866345209901482      250.866345209901539
   32      250.866345209901539      250.866345209901567
   33      250.866345209901567      250.866345209901510
   34      250.866345209901510      250.866345209901510
   35      250.866345209901482      250.866345209901539
   36      250.866345209901453      250.866345209901510
   37      250.866345209901596      250.866345209901596
   38      250.866345209901453      250.866345209901510
   39      250.866345209901482      250.866345209901482
   40      250.866345209901596      250.866345209901539
   41      250.866345209901567      250.866345209901567
   42      250.866345209901453      250.866345209901510
   43      250.866345209901510      250.866345209901510
   44      250.866345209901567      250.866345209901510
   45      250.866345209901567      250.866345209901539
   46      250.866345209901482      250.866345209901482
   47      250.866345209901482      250.866345209901539
   48      250.866345209901453      250.866345209901539
   49      250.866345209901425      250.866345209901510
   50      250.866345209901567      250.866345209901539
   51      250.866345209901510      250.866345209901510
   52      250.866345209901596      250.866345209901539
   53      250.866345209901482      250.866345209901539
   54      250.866345209901453      250.866345209901539
   55      250.866345209901453      250.866345209901510
   56      250.866345209901453      250.866345209901539
   57      250.866345209901453      250.866345209901510
   58      250.866345209901510      250.866345209901567
   59      250.866345209901510      250.866345209901482
   60      250.866345209901510      250.866345209901567
   61      250.866345209901596      250.866345209901453
   62      250.866345209901482      250.866345209901510
   63      250.866345209901453      250.866345209901596
   64      250.866345209901539      250.866345209901539
   65      250.866345209901596      250.866345209901482
   66      250.866345209901567      250.866345209901510
   67      250.866345209901510      250.866345209901539
   68      250.866345209901510      250.866345209901567
   69      250.866345209901539      250.866345209901539
   70      250.866345209901482      250.866345209901510
   71      250.866345209901567      250.866345209901510
   72      250.866345209901453      250.866345209901539
   73      250.866345209901453      250.866345209901539
   74      250.866345209901596      250.866345209901539
   75      250.866345209901624      250.866345209901510
   76      250.866345209901453      250.866345209901482
   77      250.866345209901624      250.866345209901567
   78      250.866345209901482      250.866345209901482
   79      250.866345209901510      250.866345209901539
   80      250.866345209901596      250.866345209901539
   81      250.866345209901453      250.866345209901482
   82      250.866345209901567      250.866345209901539
   83      250.866345209901596      250.866345209901539
